"","SETTLEMENT_PERIOD","halfhourly_wind","halfhourly_solar","capacity_wind","capacity_solar","deliverypotentialwind","deliverypotentialsolar"
"1",1,1401.02191780822,0,6527,13080,0.214650209561547,0
"2",2,1393.48219178082,0,6527,13080,0.213495050066006,0
"3",3,1394.69315068493,0,6527,13080,0.213680580769868,0
"4",4,1395.36164383562,0,6527,13080,0.213783000434444,0
"5",5,1397.59726027397,0,6527,13080,0.214125518656959,0
"6",6,1399.39178082192,0,6527,13080,0.214400456690963,0
"7",7,1400.43561643836,0,6527,13080,0.214560382478682,0
"8",8,1400.98356164384,0,6527,13080,0.214644333023416,0
"9",9,1403.15342465753,0,6527,13080,0.214976777180563,0
"10",10,1404.85205479452,0.13972602739726,6527,13080,0.215237023869239,1.06824179967324e-05
"11",11,1405.90410958904,6.05753424657534,6527,13080,0.215398208915128,0.000463114239034812
"12",12,1406.45479452055,38.427397260274,6527,13080,0.215482579212586,0.00293787440827783
"13",13,1406.15890410959,115.865753424658,6527,13080,0.215437245918429,0.00885823802940807
"14",14,1405.35068493151,257.956164383562,6527,13080,0.215313418864947,0.0197214192953793
"15",15,1411.38356164384,482.123287671233,6527,13080,0.216237714362469,0.0368595785681371
"16",16,1416.95342465753,791.419178082192,6527,13080,0.217091071649691,0.0605060533701982
"17",17,1449.47123287671,1186.20821917808,6527,13080,0.222073116726936,0.0906887017720246
"18",18,1481.52328767123,1661.42739726027,6527,13080,0.226983803841157,0.127020443215617
"19",19,1517.96712328767,2178.57534246575,6527,13080,0.232567354571422,0.166557747894935
"20",20,1553.95342465753,2677.18904109589,6527,13080,0.238080806596834,0.204678061245863
"21",21,1594.43835616438,3128.57260273973,6527,13080,0.244283492594513,0.239187507854719
"22",22,1634.45205479452,3515.30410958904,6527,13080,0.25041398112372,0.268754136818734
"23",23,1664.49863013699,3821.85205479452,6527,13080,0.255017409244214,0.292190524066859
"24",24,1694.04657534247,4031.10684931507,6527,13080,0.259544442369,0.308188597042436
"25",25,1714.01917808219,4138.89315068493,6527,13080,0.262604439724558,0.316429139960622
"26",26,1733.53698630137,4150.64931506849,6527,13080,0.265594758127987,0.317327929286582
"27",27,1749.39452054795,4075.46575342466,6527,13080,0.268024286892592,0.311579950567634
"28",28,1764.77260273973,3932.38082191781,6527,13080,0.270380358930554,0.300640735620628
"29",29,1762.15890410959,3704.67945205479,6527,13080,0.269979914832172,0.283232374010305
"30",30,1759.06301369863,3386.56164383562,6527,13080,0.269505594254425,0.258911440660215
"31",31,1740.71780821918,3012.94246575342,6527,13080,0.266694930016727,0.230347283314482
"32",32,1721.87671232877,2626.63561643836,6527,13080,0.263808290536045,0.20081312052281
"33",33,1695.79178082192,2244.32328767123,6527,13080,0.259811824853979,0.171584349210339
"34",34,1669.24383561644,1843.92876712329,6527,13080,0.255744420961612,0.140973147333585
"35",35,1640.64109589041,1452.54520547945,6527,13080,0.251362202526492,0.111050856688032
"36",36,1611.5397260274,1100.18356164384,6527,13080,0.246903589095664,0.0841118930920364
"37",37,1580.81917808219,796.794520547945,6527,13080,0.242196901805147,0.0609170122743077
"38",38,1549.60273972603,538.304109589041,6527,13080,0.237414239271645,0.0411547484395291
"39",39,1521.97808219178,325.769863013699,6527,13080,0.233181872558876,0.0249059528297935
"40",40,1493.87397260274,170.01095890411,6527,13080,0.228876049119464,0.0129977797327301
"41",41,1474.74246575342,71.5835616438356,6527,13080,0.225944915850073,0.00547274936114951
"42",42,1455.11780821918,19.2465753424658,6527,13080,0.222938227090421,0.00147145071425579
"43",43,1445.71232876712,2.09315068493151,6527,13080,0.22149721599006,0.00016002681077458
"44",44,1435.80547945205,0.312328767123288,6527,13080,0.219979390141268,2.38783461103431e-05
"45",45,1432.52054794521,0.142465753424658,6527,13080,0.219476106625587,1.0891877173139e-05
"46",46,1428.75068493151,0.010958904109589,6527,13080,0.218898526877816,8.37836705626073e-07
"47",47,1412.08516483516,0,6527,13080,0.2163452068079,0
"48",48,1403.09340659341,0,6527,13080,0.214967581828314,0
"49",49,2814,0,6527,13080,0.431132220009193,0
"50",50,2844,0,6527,13080,0.435728512333384,0
