settlement_period,halfhourly
00:00,21299.63288
00:30,21140.68767
01:00,20867.73973
01:30,20676.03562
02:00,20345.74247
02:30,19995.69041
03:00,19702.24384
03:30,19462.08767
04:00,19360.79452
04:30,19352.16712
05:00,19748.71507
05:30,20387.12877
06:00,22056.92055
06:30,23544.05479
07:00,25362.55068
07:30,26447.4
08:00,27479.81096
08:30,27929.92329
09:00,28305.03562
09:30,28279.50137
10:00,28147.8411
10:30,27992.23562
11:00,27899.87945
11:30,27853.31233
12:00,28032.90137
12:30,27939.15616
13:00,27768.00548
13:30,27468.79726
14:00,27403.68493
14:30,27368.48767
15:00,27594.43562
15:30,28168.86575
16:00,29057.68493
16:30,30126.58082
17:00,31098.51507
17:30,31638.64658
18:00,31855.27945
18:30,31748.42466
19:00,31374.94795
19:30,30764.80274
20:00,30072.64658
20:30,29256.05753
21:00,28314.92877
21:30,27177.56438
22:00,25904.61918
22:30,24496.07671
23:00,23027.96978
23:30,21924.25
,
,
,
,
,
,
,
,
