Available_80,Charging_80,Available_50,Charging_50,Available_30,Charging_30
2689500,2600,1662500,1200,1002200,1600
2686900,1700,1661700,400,1000200,1000
2685400,500,1661500,100,999000,400
2685000,200,1075000,900,998100,400
2684900,100,1074500,300,997600,200
1760800,1000,1074100,200,997400,200
1760400,200,1073800,100,996800,200
2810200,3300,1758600,1900,996700,100
2807700,1100,1757200,800,996600,100
2807300,200,1756300,500,996300,100
2807100,200,1755800,400,995900,200
2689500,2600,1088200,1000,995400,200
2686900,1700,1087700,300,995300,100
2685400,500,1086900,400,1045300,1600
2685000,200,6379700,40900,1043500,1200
2684900,100,6301600,42000,1041900,800
10243500,51400,6216500,44700,1040900,700
10131700,56300,6127600,46700,1040600,100
10021600,58600,6030600,49700,1045300,1600
9904200,61800,5943300,46500,1043500,1200
9794800,57200,5855300,44300,1041900,800
9684400,58900,5757600,50700,1040900,700
9570800,61500,5666200,49400,1040600,100
9453500,61200,5570400,52200,647600,600
9332000,62400,5479500,50100,647500,100
9214300,62400,5380000,51500,3790100,30100
9105300,58800,5275700,53100,3730000,33200
8993000,59900,5199700,41600,3671100,30600
8871400,65200,5115800,47900,3608500,32200
8757200,58800,5018200,51400,3539500,37200
8646400,59000,4911500,55600,3467800,38500
8545400,55000,4809500,53800,3395000,38300
8433600,61100,4712600,48500,3327200,35500
8325100,58700,4627500,45100,3258900,37000
8218200,59300,4537100,48500,3195700,33200
8102200,61200,4444200,45700,3131900,35300
7980500,63700,4359600,44800,3063000,37000
7860300,64800,4264500,51100,2995400,36700
7742300,61100,4167600,50500,2927800,33700
7623800,62900,4083800,48500,2862700,33800
7501700,62600,3989500,50100,2786800,38100
7384500,62400,3893800,51200,2708500,41100
7264600,61500,3796700,51100,2623900,42100
7143600,61700,3713700,46400,2545300,39200
7029000,60100,3631000,44000,2470800,37600
6913200,62600,3543200,46300,2396500,39800
6799500,59500,3449700,49900,2320100,38200
6690000,58800,3361900,47600,2244900,40100
6589500,56300,3273900,47400,2167600,39600
6476100,58300,3186500,48000,2089500,42300
6361800,61300,3100600,45700,2003500,44900
6241800,64200,3011000,47600,1915800,43600
6120900,62400,2908500,52300,1832300,44600
5993400,64500,2820400,47100,1759600,38800
5876300,61000,2726200,49100,1686700,40100
5756200,60500,2631500,49400,1603800,45200
5642900,58400,2536200,50300,1528900,38400
5528300,62700,2446500,47500,1465200,34700
5413800,59600,2367700,44600,1395100,38300
5282500,70500,2279600,45600,1327700,38000
5151200,69200,2190300,46000,1255300,37100
5034200,59000,2091300,50200,1183700,38200
4926700,58000,1998000,48400,1104400,39700
4808500,61500,1913000,46300,1036100,35400
4690000,61200,1827200,47600,969700,36100
4575800,62600,1745200,43100,902200,37200
4456200,63700,1655800,48400,831400,35900
4341100,60100,1560500,48800,769800,36100
4231200,60800,1475600,44500,695900,40600
4117600,60000,1388700,46300,632300,34700
4000000,61200,1302400,47000,563200,37800
3888700,60500,1218200,43300,487200,40200
3781100,59200,1127500,47700,412400,37600
3658600,61400,1042500,45800,346100,34800
3550000,58600,953200,48700,278900,38300
3433400,61400,867000,46900,195900,42700
3308000,62700,763700,52900,120100,36300
3199300,56700,658200,54100,63000,29500
3095700,55900,554700,51500,26000,19000
2968900,66800,467500,45800,13500,5700
2857700,60300,374600,50900,3400,4900
2739400,61300,290000,45500,700,1800
